network	seed	method	AUROC	AUPRC	EP_5pct	EP_10pct	time_sec
5	3	GRNBoost2	0.7198944621449934	0.0761007355726324	0.1131313131313131	0.0757575757575757	3.0458128452301025
5	3	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	26.451090574264526
5	3	TIGRESS	0.7220992168997213	0.2090220890635286	0.1494949494949495	0.0929292929292929	16.811920166015625
5	4	GENIE3	0.7953002240250746	0.2049814252757484	0.1575757575757575	0.105050505050505	38.23536396026611
5	4	GRNBoost2	0.713417110989292	0.0865594260551215	0.1191919191919192	0.0838383838383838	4.534247636795044
5	4	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	38.37311720848084
5	4	TIGRESS	0.7288501273852371	0.2020118363400729	0.1555555555555555	0.0949494949494949	27.25837802886963
5	5	GENIE3	0.7939834028218513	0.2084744437980152	0.1636363636363636	0.105050505050505	26.10041284561157
5	5	GRNBoost2	0.723125664882615	0.0771927997135419	0.109090909090909	0.0757575757575757	3.3704752922058105
5	5	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	27.619155883789062
5	5	TIGRESS	0.7244144629349794	0.2075033470683275	0.1535353535353535	0.0939393939393939	18.052972078323364
5	6	GENIE3	0.7952052121993048	0.2052868442451288	0.1676767676767676	0.104040404040404	25.1777458190918
5	6	GRNBoost2	0.7504941415601476	0.091151397187384	0.1191919191919192	0.0868686868686868	3.308156728744507
5	6	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	26.835336208343502
5	6	TIGRESS	0.7221173652259921	0.2016036143185919	0.1515151515151515	0.0929292929292929	16.42126226425171
5	7	GENIE3	0.7938520943435403	0.2057202950444258	0.1636363636363636	0.103030303030303	38.71751356124878
5	7	GRNBoost2	0.7125235728076156	0.0800445550275285	0.1252525252525252	0.0787878787878787	4.64031982421875
5	7	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	40.374760150909424
5	7	TIGRESS	0.720760777837264	0.2117695098480829	0.1515151515151515	0.0929292929292929	28.559106826782227
5	8	GENIE3	0.7935067423700967	0.204273035298929	0.1636363636363636	0.104040404040404	31.158267736434937
5	8	GRNBoost2	0.729223769396691	0.0771262911954031	0.107070707070707	0.0747474747474747	4.138195514678955
5	8	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	33.565245628356934
5	8	TIGRESS	0.7246741441329396	0.2081897997118346	0.1474747474747474	0.0929292929292929	21.125812530517575
5	9	GENIE3	0.7942497561985875	0.2035217490271757	0.1595959595959596	0.105050505050505	27.582932233810425
5	9	GRNBoost2	0.7205907707220525	0.0936277767975268	0.1212121212121212	0.0838383838383838	3.9303135871887207
